Year,Country of Residence,Country Population,Continent,Syrian Refugees in Country
2008,United Arab Emirates,6900142,Asia,21
2008,Australia,21249200,Oceania,74
2008,Austria,8321496,Europe,333
2008,Belgium,10709973,Europe,152
2008,Benin,8973525,Africa,1
2008,Bulgaria,7492561,Europe,86
2008,Bosnia and Herzegovina,3839749,Europe,1
2008,Brazil,194769696,South America,5
2008,Canada,33245773,North America,603
2008,Switzerland,7647675,Europe,626
2008,China,1324655000,Asia,
2008,Cyprus,1077010,Europe,70
2008,Czech Republic,10380000,Europe,16
2008,Germany,82110097,Europe,8205
2008,Denmark,5493621,Europe,272
2008,Ecuador,14447600,South America,10
2008,Egypt,75490000,Africa,9
2008,Spain,45954106,Europe,34
2008,Finland,5313399,Europe,50
2008,France,64374990,Europe,233
2008,United Kingdom,61806995,Europe,395
2008,Greece,11077841,Europe,39
2008,Hungary,10038188,Europe,44
2008,India,1197070109,Asia,
2008,Ireland,4489544,Europe,36
2008,Iraq,29163327,Asia,534
2008,Iceland,317414,Europe,1
2008,Israel,7308800,Asia,1
2008,Italy,58826731,Europe,110
2008,Jordan,5786000,Asia,44
2008,Kyrgyzstan,5318700,Asia,4
2008,Kuwait,2705290,Asia,
2008,Lebanon,4109389,Asia,84
2008,Libya,6123022,Africa,
2008,Lithuania,3198231,Europe,3
2008,Latvia,2177322,Europe,
2008,Rep. of Moldova,3570108,Europe,12
2008,Malta,409379,Europe,11
2008,Netherlands,16445593,Europe,1326
2008,Norway,4768212,Europe,154
2008,New Zealand,4259800,Oceania,33
2008,Oman,2652281,Asia,7
2008,Pakistan,163096985,Asia,8
2008,Peru,28642048,South America,
2008,Poland,38125759,Europe,8
2008,Qatar,1388962,Asia,7
2008,Romania,20537875,Europe,25
2008,Russian Federation,142742350,Europe,2
2008,Saudi Arabia,26742842,Asia,14
2008,Slovakia,5379233,Europe,14
2008,Sweden,9219637,Europe,1084
2008,Syrian Arab Rep.,20097057,N/A,
2008,Thailand,66453255,Asia,1
2008,Tunisia,10328900,Africa,5
2008,Turkey,70344357,Asia,12
2008,Ukraine,46258200,Europe,39
2008,United States,304093966,North America,320
2008,Uzbekistan,27302800,Asia,1
2008,Yemen,22322699,Asia,32
2010,United Arab Emirates,8329453,Asia,34
2010,Australia,22031750,Oceania,68
2010,Austria,8363404,Europe,505
2010,Belgium,10895586,Europe,229
2010,Benin,9509798,Africa,1
2010,Bulgaria,7395599,Europe,95
2010,Bosnia and Herzegovina,3835258,Europe,1
2010,Bolivia (Plurinational State of),9918245,South America,
2010,Brazil,198614208,South America,5
2010,Canada,34005274,North America,545
2010,Switzerland,7824909,Europe,694
2010,Cyprus,1103685,Europe,125
2010,Czech Rep.,10474410,N/A,23
2010,Germany,81776930,Europe,10518
2010,Denmark,5547683,Europe,750
2010,Dominican Rep.,9897983,North America,
2010,Ecuador,14934692,South America,9
2010,Egypt,82040994,Africa,8
2010,Spain,46576897,Europe,35
2010,Finland,5363352,Europe,59
2010,France,65027512,Europe,280
2010,United Kingdom,62766365,Europe,499
2010,Greece,11121341,Europe,16
2010,Croatia,4417781,Europe,
2010,Hungary,10000023,Europe,39
2010,Ireland,4560155,Europe,34
2010,Iran (Islamic Rep. of),74253373,Asia,
2010,Iraq,30868156,Asia,254
2010,Iceland,318041,Europe,1
2010,Italy,59277417,Europe,211
2010,Jordan,6046000,Asia,198
2010,Kyrgyzstan,5447900,Asia,11
2010,Kuwait,3059473,Asia,4
2010,Lebanon,4337156,Asia,64
2010,Lithuania,3097282,Europe,3
2010,Luxembourg,506953,Europe,
2010,"China, Macao SAR",534626,Asia,
2010,Rep. of Moldova,3562045,Europe,10
2010,The former Yugoslav Republic of Macedonia,2062443,N/A,
2010,Malta,414508,Europe,33
2010,Malaysia,28119500,Asia,
2010,Netherlands,16615394,Europe,1186
2010,Norway,4889252,Europe,186
2010,New Zealand,4350700,Oceania,36
2010,Oman,2943747,Asia,7
2010,Pakistan,170043918,Asia,8
2010,Poland,38042794,Europe,8
2010,Qatar,1765513,Asia,8
2010,Romania,20246871,Europe,21
2010,Russian Federation,142849449,Europe,5
2010,Saudi Arabia,28090647,Asia,14
2010,Slovakia,5391428,Europe,22
2010,Sweden,9378126,Europe,1169
2010,Syrian Arab Rep.,20720602,N/A,
2010,Chad,11896380,Africa,1
2010,Thailand,66692024,Asia,
2010,Tunisia,10547100,Africa,5
2010,Turkey,72310416,Asia,9
2010,Ukraine,45870700,Europe,42
2010,United States,309347057,North America,312
2010,Yemen,23591972,Asia,52
2012,Afghanistan,29726803,Asia,1
2012,Angola,22685632,Africa,
2012,Albania,2900489,Europe,
2012,United Arab Emirates,8952542,Asia,16
2012,Argentina,42095224,South America,40
2012,Armenia,2978339,Asia,136
2012,Australia,22728254,Oceania,204
2012,Austria,8429991,Europe,1675
2012,Azerbaijan,9295784,Asia,3
2012,Belgium,11128246,Europe,355
2012,Benin,10049792,Africa,1
2012,Bulgaria,7305888,Europe,97
2012,Bahrain,1333577,Asia,
2012,Bosnia and Herzegovina,3828419,Europe,5
2012,Belarus,9464000,Europe,
2012,Brazil,202401584,South America,42
2012,Canada,34751476,North America,533
2012,Switzerland,7996861,Europe,1391
2012,Chile,17388437,South America,
2012,Cameroon,21659488,Africa,1
2012,Colombia,46881018,South America,1
2012,Costa Rica,4654148,North America,
2012,Cuba,11342631,North America,11
2012,Cyprus,1129303,Europe,139
2012,Czech Rep.,10510785,Europe,54
2012,Germany,80425823,Europe,18165
2012,Denmark,5591572,Europe,1903
2012,Dominican Rep.,71685,North America,7
2012,Algeria,37439427,Africa,
2012,Ecuador,15419493,South America,11
2012,Egypt,85660902,Africa,12836
2012,Spain,46773055,Europe,32
2012,Finland,5413971,Europe,218
2012,France,65639975,Europe,640
2012,United Kingdom,63700300,Europe,1717
2012,Georgia,3825000,Asia,141
2012,Ghana,25544565,Africa,
2012,Greece,11045011,Europe,20
2012,"China, Hong Kong SAR",7154600,Asia,
2012,Croatia,4267558,Europe,12
2012,Hungary,9920362,Europe,86
2012,Indonesia,248037853,Asia,5
2012,India,1263589639,Asia,6
2012,Ireland,4586897,Europe,38
2012,Iraq,32780975,Asia,63586
2012,Iceland,320716,Europe,2
2012,Italy,59539717,Europe,445
2012,Jordan,6318000,Asia,238798
2012,Japan,127561489,Asia,
2012,Kazakhstan,16791425,Asia,
2012,Kyrgyzstan,5607200,Asia,7
2012,Cambodia,14832255,Asia,
2012,Rep. of Korea,50004441,N/A,
2012,Kuwait,3419581,Asia,15
2012,Lebanon,4440728,Asia,126939
2012,Libya,6283403,Africa,
2012,Sri Lanka,20424000,Asia,1
2012,Lithuania,2987773,Europe,5
2012,Latvia,2034319,Europe,17
2012,"China, Macao SAR",557763,Asia,
2012,Morocco,32984190,Africa,
2012,Rep. of Moldova,3559519,Europe,55
2012,Mexico,122070963,North America,2
2012,The former Yugoslav Republic of Macedonia,2069270,N/A,
2012,Malta,419455,Europe,191
2012,Montenegro,620601,Europe,
2012,Malaysia,29021940,Asia,4
