Year,Country of Residence,Country Population,Syrian Refugees,
2008,United Arab Emirates,6900142,21,
2008,Afghanistan,26528741,NA,
2008,Albania,2947314,NA,
2008,Algeria,34811059,NA,
2008,Angola,19842251,NA,
2008,Antigua/Barbuda,85350,NA,
2008,Argentina,40381860,NA,
2008,Armenia,2975029,NA,
2008,Aruba,101342,NA,
2008,Australia,21249200,74,
2008,Austria,8321496,333,
2008,Azerbaijan,8763400,NA,
2008,Bahamas,348587,NA,
2008,Bahrain,1115777,NA,
2008,Bangladesh,148252473,NA,
2008,Barbados,277315,NA,
2008,Belarus,9528000,NA,
2008,Belgium,10709973,152,
2008,Belize,306165,NA,
2008,Benin,8973525,1,
2008,Bhutan,694990,NA,
2008,Bolivia (Plurinational State of),9599916,NA,
2008,Bonaire,NA,NA,
2008,Botswana,1967866,NA,
2008,British Virgin Islands,NA,NA,
2008,Brunei Darussalam,380786,NA,
2008,Burkina Faso,14709011,NA,
2008,Burundi ,14709011,NA,
2008,Bulgaria,7492561,86,
2008,Bosnia and Herzegovina,3839749,1,
2008,Brazil,194769696,5,
2008,Cabo Verde,483824,NA,
2008,Cambodia,13933660,NA,
2008,Cameroon,19570418,NA,
2008,Canada,33245773,603,
2008,Cayman Islands,52925,NA,
2008,Central African Rep.,4280405,NA,
2008,Chad,11139740,NA,
2008,Chile,16645940,NA,
2008,Switzerland,7647675,626,
2008,China,1324655000,0,
2008,"China, Hong Kong SAR",6957800,NA,
2008,"China, Macao SAR",507274,NA,
2008,Colombia,44901660,NA,
2008,Comoros,665414,NA,
2008,Congo,3832771,NA,
2008,Costa Rica,4429506,NA,
2008,Croatia,4434508,NA,
2008,Cuba,11290239,NA,
2008,Curacao,145880,NA,
2008,Cyprus,1077010,70,
2008,Cote d'Ivoire,19261647,NA,
2008,Czech Republic,10380000,16,
2008,Germany,82110097,8205,
2008,Dem Rep of the Congo,61809278,NA,
2008,Denmark,5493621,272,
2008,Dijbouti,NA,NA,
2008,Dominican Rep.,9636491,NA,
2008,Ecuador,14447600,10,
2008,Egypt,75490000,9,
2088,El Salvador,6004199,NA,
2008,Equatorial Guinea,686223,NA,
2008,Eritrea,4500638,NA,
2008,Estonia,1337090,NA,
2008,Ethopia,83079608,NA,
2008,Spain,45954106,34,
2008,Fiji,843206,NA,
2008,Finland,5313399,50,
2008,France,64374990,233,
2008,French Guiana,NA,NA,
2008,United Kingdom,61806995,395,
2008,Greece,11077841,39,
2008,Gabon,1473741,NA,
2008,Gambia,1586749,NA,
2008,Georgia,4030000,NA,
2008,Ghana,23115919,NA,
2008,Grenada,103934,NA,
2008,Guatemala,14106687,NA,
2008,Guinea,10427356,NA,
2008,Guinea-Bissau,1561293,NA,
2008,Guyana,748096,NA,
2008,Hungary,10038188,44,
2008,Haiti,9705130,NA,
2008,Honduras,7259470,NA,
2008,India,1197070109,0,
2008,Ireland,4489544,36,
2008,Iraq,29163327,534,
2008,Iceland,317414,1,
2008,Israel,7308800,1,
2008,Italy,58826731,110,
2008,Indonesia,235360765,NA,
2008,Iran (Islamic Rep. of),72530693,NA,
2008,Jamaica,2671934,NA,
2008,Japan,128063000,NA,
